City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
245,Saint George,US,46.99,37.1,-113.58,broken clouds,Best Western Plus Abbey Inn Hotel & Conference Center
246,Saint-Philippe,RE,78.8,-21.36,55.77,few clouds,"Chambres d'hôte ""La Trinité"""
247,Gushikawa,JP,62.6,26.35,127.87,scattered clouds,Kirari Guest House
248,Danshui,CN,71.01,22.8,114.47,broken clouds,Grand Skylight International Hotel Huizhou
249,San Patricio,MX,82.4,19.22,-104.7,clear sky,Hotel Cabo Blanco
250,Ozu,JP,38.35,33.5,132.55,clear sky,HOTEL FOREST
251,Guerrero Negro,MX,63.03,27.98,-114.06,overcast clouds,"Casa Laguna, Bed & Breakfast"
253,Keflavik,IS,32.0,64.0,-22.56,light shower snow,Hotel Keflavik
255,Wodonga,AU,72.0,-36.12,146.88,broken clouds,Blazing Stump Motel & Suites Wodonga
256,Bendigo,AU,73.0,-36.77,144.28,heavy intensity rain,The Hotel Shamrock
257,Cortez,US,37.99,37.35,-108.59,light rain,Sand Canyon National 9 Inn
258,Marsa Matruh,EG,51.8,31.35,27.25,broken clouds,Beau Site
259,Lorient,FR,53.6,47.83,-3.25,mist,Hôtel ibis budget Lorient Hennebont
260,Spiridonovka,RU,30.2,53.09,50.65,light snow,
261,Vardo,NO,26.6,70.37,31.11,broken clouds,Vardø Hotel AS
264,Qinhuangdao,CN,39.42,39.93,119.59,clear sky,Qinhuangdao Peninsula Seasons Hotel And Apartment
265,Bilma,NE,70.43,18.69,12.92,broken clouds,Expeditions Ténére voyages
266,Bertoua,CM,82.02,4.58,13.68,few clouds,PHENIX HOTEL
267,Lukang,TW,66.0,24.06,120.44,few clouds,二鹿行館 Lu Kang Bed and Breakbast
269,Kargopol,RU,30.97,61.51,38.95,broken clouds,Moroshka Inn
272,Hasaki,JP,42.8,35.73,140.83,few clouds,Inubosaki Kanko Hotel
273,Carmen,MX,73.4,18.63,-91.83,scattered clouds,Hotel Lossandes
274,Tam Ky,VN,68.0,15.57,108.48,few clouds,Phương Hòa Motel
275,Derzhavinsk,KZ,10.99,51.1,66.32,broken clouds,Ooo.khim Baza
276,Dunedin,NZ,55.99,-45.87,170.5,overcast clouds,Scenic Hotel Southern Cross
277,Ponta Delgada,PT,62.6,37.73,-25.67,few clouds,Vila Nova Hotel
278,Pampierstad,ZA,77.49,-27.78,24.69,clear sky,BAROLONG METHODIST CHURCH
279,Ilulissat,GL,1.4,69.22,-51.1,clear sky,Hotel Arctic
280,San Andres,CO,86.0,12.58,-81.7,few clouds,Hotel Arena Blanca
281,Igrim,RU,28.44,63.19,64.42,scattered clouds,Obshchezhitiye Uchebno-Proizvodstvennogo Tsentra
282,Miramar,US,77.0,25.99,-80.23,scattered clouds,Stadium Hotel
283,Vila Velha,BR,80.6,-20.33,-40.29,overcast clouds,Hotel Vitória Palace
284,Asasa,ET,56.03,7.1,39.2,clear sky,abc
285,Jinan,CN,57.99,36.67,117.0,few clouds,Sofitel Silver Plaza Hotel Jinan
287,Kapuskasing,CA,33.8,49.42,-82.43,overcast clouds,Park Inn Motel
288,Saint Anthony,US,46.0,45.02,-93.22,clear sky,Holiday Inn Express Roseville-St. Paul
289,Ukiah,US,55.0,39.15,-123.21,clear sky,Hampton Inn Ukiah
291,Goderich,CA,46.99,43.75,-81.72,broken clouds,Harmony Inn
295,Constitucion,CL,64.58,-35.33,-72.42,scattered clouds,Hotel Boutique Las Azucenas
296,Chapais,CA,33.8,49.78,-74.85,scattered clouds,Hôtel Opémiska
297,Creston,US,59.0,41.06,-94.36,clear sky,Supertel Inn & Conference Center
298,Jinji,CN,65.39,23.23,110.83,scattered clouds,
299,Parry Sound,CA,44.01,45.35,-80.03,broken clouds,Bayside Inn
300,Shasta Lake,US,53.01,40.68,-122.37,scattered clouds,Shasta Dam Motel
302,Naze,JP,51.8,28.37,129.48,clear sky,奄美ポートタワーホテル
303,Manadhoo,MV,82.74,5.77,73.38,overcast clouds,Reason Inn
306,Manzil Salim,TN,62.6,35.86,8.48,clear sky,mohamed ben khlil omri
307,Hervey Bay,AU,73.0,-25.3,152.85,light intensity shower rain,Shelly Bay Resort
309,Rocha,UY,79.59,-34.48,-54.33,clear sky,Beleza Pura B&B
311,Pervomayskoye,RU,41.72,43.92,46.71,overcast clouds,
312,Flin Flon,CA,30.2,54.77,-101.86,overcast clouds,Victoria Inn Flin Flon
313,Talnakh,RU,14.0,69.49,88.4,shower snow,Talnakh Hotel
314,Zaidpur,IN,68.0,26.83,81.33,mist,LAAL KOTHI ZAIDPUR
315,Nerchinsk,RU,0.43,51.98,116.58,clear sky,Hotel Caspian
316,Hoquiam,US,46.0,46.98,-123.89,overcast clouds,Econo Lodge Inn & Suites
317,Denpasar,ID,78.8,-8.65,115.22,scattered clouds,ASTON Denpasar Hotel & Convention Center
318,Pacific Grove,US,55.99,36.62,-121.92,overcast clouds,Lovers Point Inn
323,Meulaboh,ID,83.59,4.14,96.13,few clouds,Kost Pria
324,Oranjestad,AW,87.8,12.52,-70.03,scattered clouds,Divi Village Golf & Beach Resort
325,Umtata,ZA,57.2,-31.59,28.78,overcast clouds,LLZZ Boutique Lodge
329,Touros,BR,89.6,-5.2,-35.46,few clouds,INN NEW HORIZON
332,Hami,CN,29.95,42.8,93.45,broken clouds,Laoyutang Resort
334,Celestun,MX,72.41,20.87,-90.4,clear sky,Posada Lilia
335,Taybad,IR,53.22,34.74,60.78,clear sky,لی پوش jean center
336,Mao,ES,55.4,39.89,4.27,clear sky,ARTIEM Capri
337,Mitsamiouli,KM,82.4,-11.38,43.28,few clouds,Foyer ADM
339,Neiafu,TO,77.0,-18.65,-173.98,few clouds,Mystic Sands
340,Amudalavalasa,IN,69.73,18.42,83.9,clear sky,Yo Chan
341,Dinghai,CN,57.2,26.28,119.79,broken clouds,
342,Lamu,KE,82.31,-2.27,40.9,few clouds,Lamu House
343,Morehead,US,54.0,37.27,-87.18,overcast clouds,CCI Express Inn
344,Tiznit,MA,71.94,29.58,-9.5,clear sky,
345,Genhe,CN,0.18,50.78,121.52,broken clouds,Companionship Hotel
346,Farrukhnagar,IN,75.99,17.08,78.2,clear sky,Countryside Resorts
348,Eldorado,BR,79.56,-23.79,-54.28,overcast clouds,Villa Verde Hotel
349,Kargasok,RU,4.3,59.06,80.86,clear sky,Hotel Kargasok
350,Acari,PE,78.08,-15.43,-74.62,broken clouds,Hospedaje Ximens
351,Quilmana,PE,75.81,-12.95,-76.38,clear sky,Hospedaje SAN ANTONIO
352,Sawakin,SD,75.2,19.11,37.33,broken clouds,فندق السادات
354,Imbituba,BR,77.0,-28.24,-48.67,scattered clouds,Praia Hotel Imbituba
